Year,Time,Bib,Name,Country,Gender,Club
2015,70:09,Y208,Pascal BENISTAND,FR,,Membre Individuel 69 Ffct
2015,70:09,C102,Jean-Michel CALLOT,FR,,US Métro Transports
2015,70:09,Y001,Timo ROKITTA,DE,,ARA SAARLAND
2015,70:11,A024,Andreas SCHRÖDER,AT,,AUDAX RANDONNEURS AUSTRIA
2015,70:11,A083,Harald STOCK,AT,,AUDAX RANDONNEURS AUSTRIA
2015,70:12,G243,Frédéric HUARD,FR,,Sud Vélo / Ne jetez plus
2015,70:12,Y116,Dan ROUGH,GB,,YACF
2015,70:13,H245,Jean-Marie BERNAND,FR,,Les Cyclos de Sainte-Suzanne
2015,70:13,E162,Fabien CLEUET,FR,,Les Cyclos de Sainte-Suzanne
2015,70:13,D103,Jacques LESNÉ,FR,,Entente Cyclo Lamballaise
2015,70:14,G309,Nicolas BEUDEZ,FR,,Membre Individuel 84 FFCT
2015,70:14,B065,Arnold LOOSE,DE,,ARA EMSLAND
2015,70:14,G304,Gérard MICHEL,FR,,Cyclo Club Orangeois
2015,70:15,B093,Wes JOHNSON,US,,RAND. USA N.CAROLINA
2015,70:17,C103,Nicolas BOSSO,FR,,US Métro Transports
2015,70:17,X069,Paolo MANCINI,IT,,US NERVIANESE 1919
2015,70:19,M138,Ian FLITCROFT,US,,AUDAX ATLANTA
2015,70:19,B041,Aron MASON,US,,SAN FRANCISCO RANDONNEURS
2015,70:20,D117,François CHAMP,FR,,Étoile Cycliste Fontenaysienne
2015,70:20,C175,Pierre HÉE,FR,,Olymp. Club Montauban de Bretagne Cyclo
2015,70:20,E200,Jean-Paul LHERMELIN,FR,,Guidon Gorronnais - Gorron
2015,70:22,C105,Olivier LE BIHAN,FR,,Cyclo Rand. Caudanais
2015,70:22,E132,Gordon LEY,CA,,RANDONNEURS ONTARIO OTTAWA
2015,70:23,R263,Philippe PICHARD,FR,,Club Cyclo du Ninian - Plemet
2015,70:25,D189,Claude GUÉRIN,FR,,Guidon Gorronnais - Gorron
2015,70:25,C203,Jean-Claude ROULLEAU,FR,,AC Banlieue Ouest - Neuilly sur Seine
2015,70:25,D171,Francis TABURET,FR,,Guidon Gorronnais - Gorron
2015,70:25,D172,Marcel TABURET,FR,,Guidon Gorronnais - Gorron
2015,70:26,E003,Stefano CAMBIOLI,IT,,CICLO DUCALE URBINO
2015,70:26,E079,Simona ETOSSI,IT,F,GS GARBAGNATESE
2015,70:26,H235,Claudio ZANNONI,IT,,RANDONNEUR FORLI-CESENA
2015,70:27,Z181,Cyril BROCHON,FR,,CC Mornac/Seudre-Breuillet
2015,70:27,Z180,Yann GRANGER,FR,,CC Mornac/Seudre-Breuillet
2015,70:27,Z179,Patrice NÉGRIER,FR,,Club Cyclo Nieul
2015,70:27,G138,Kevin O'SULLIVAN,IE,,AUDAX IRLANDE CC
2015,70:28,B115,Didier LE DRÉO,FR,,Vélo Club Montigny le Bretonneux
2015,70:28,W021,Jean-Luc VERGNEAU,FR,,Rand. Cyclos de l'Anjou - Angers
2015,70:32,L207,Alain DAVOUST,FR,,Condé sur Sarthe
2015,70:32,L090,Konstantinos KALFAS,GR,,P.O. KARDITSAS
2015,70:33,D166,Jean DEROUET,FR,,Cyclos du Bocage 53 - Landivy
2015,70:33,K006,Jean ROBERT,CA,,C.V.RAND.MONTREAL (QUEBEC)
2015,70:34,R267,Franck HARDY,FR,,CS Frépillon
2015,70:35,L304,David QUERE,FR,,Membre Individuel 22 FFCT
2015,70:35,Y148,Douglas RAYNES,GB,,AUDAX UK
2015,70:36,E029,Dag BALKMAR,SE,,CK HYMER
2015,70:36,M300,Yannick DELAGE,FR,,A. Cyclo de la Vienne - St Julien d'Ars
2015,70:36,E045,Martin NILSSON,SE,,CK HYMER
2015,70:37,B062,Robert BRUDVIK,US,,SEATTLE INTERNATIONAL RANDONNEURS
2015,70:38,T012,José Carlos CRUZ MONTERRUBIO,ES,,"BIELA, C.C."
2015,70:38,C060,Vincent SIKORSKI,US,,OREGON RANDONNEURS
2015,70:39,E085,Colin BEZANT,GB,,CC BASINGSTOKE
2015,70:40,B160,Paul LANTUEJOUL,FR,,Membre Individuel 91 FFCT
